example,group,subject,speed_bin,n_train,test_frames,n_delays,rank_requested,rank_fit,stabilize,smooth_window,nrmse,rmse,amplitude_ratio,tail_amplitude_ratio,horizon,stride_frequency,spectral_radius
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,40,40,true,0,0.9214279159748948,0.25273443906438386,0.3970069132866309,0.12278032375435857,78,3.859649122807017,0.9714003914036664
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,40,40,true,7,0.9268586917142401,0.249694764670095,0.3175269279726098,0.025302221802570805,78,3.859649122807017,0.9509473456990991
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,40,40,true,11,0.910147578897244,0.236419139673269,0.3717571166301931,0.062439165386927044,78,3.859649122807017,0.9624993573898065
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,40,40,true,15,0.9078955245335079,0.22331713176179566,0.4058654799241179,0.016777670287193767,78,3.859649122807017,0.9480223025306543
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,40,40,true,21,0.913217947961295,0.198677960583409,0.4044058057267999,0.10536452377175871,78,3.859649122807017,0.9628075193864652
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,40,40,false,0,0.9214279159748946,0.2527344390643838,0.3970069132866317,0.12278032375435874,78,3.859649122807017,0.9714003914036667
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,40,40,false,7,0.9268586917142387,0.24969476467009463,0.3175269279726178,0.025302221802574305,78,3.859649122807017,0.9509473456990987
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,40,40,false,11,0.9101475788972444,0.23641913967326914,0.3717571166301851,0.06243916538692189,78,3.859649122807017,0.9624993573898062
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,40,40,false,15,0.9078955245335119,0.22331713176179666,0.4058654799241178,0.0167776702871926,78,3.859649122807017,0.9480223025306547
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,40,40,false,21,0.9132179479612912,0.1986779605834082,0.40440580572679524,0.10536452377174922,78,3.859649122807017,0.9628075193864648
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,60,52,true,0,0.9273900502027398,0.2543697668242409,0.4075835963888421,0.11880520465522855,78,3.859649122807017,0.9688580379691897
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,60,52,true,7,0.92041335985906,0.24795839899193178,0.3349648351480704,0.05656141976663801,78,3.859649122807017,0.9592947441139167
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,60,52,true,11,0.9140613622291244,0.23743578061111764,0.3696688540956878,0.06395995047435374,78,3.859649122807017,0.9647738935439484
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,60,52,true,15,0.894317999262355,0.21997743692021673,0.4447090389113748,0.04721144645377034,78,3.859649122807017,0.9554385775590551
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,60,52,true,21,0.9118603946662276,0.19838261386946257,0.4135618570201237,0.14344235578253411,78,3.859649122807017,0.9732035269380023
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,60,52,false,0,0.9273900502027401,0.254369766824241,0.4075835963888406,0.1188052046552285,78,3.859649122807017,0.9688580379691893
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,60,52,false,7,0.9204133598590587,0.24795839899193145,0.33496483514807607,0.05656141976664502,78,3.859649122807017,0.9592947441139161
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,60,52,false,11,0.9140613622291239,0.2374357806111175,0.3696688540956915,0.06395995047435105,78,3.859649122807017,0.9647738935439467
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,60,52,false,15,0.8943179992623529,0.2199774369202162,0.44470903891136065,0.04721144645375732,78,3.859649122807017,0.9554385775590516
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,60,52,false,21,0.9118603946662288,0.19838261386946285,0.4135618570201285,0.14344235578253994,78,3.859649122807017,0.9732035269380029
