group,subject,speed_bin,model_index,peak_log_gain,peak_frequency,mean_log_gain,band_3_7_log_gain
TSC_het,OFT-0467-00,medium,538,2.4571726579774085,3.859550561797753,1.7688012764042407,1.896593735894366
TSC_het,OFT-0470-00,medium,539,2.4078550959662413,3.342696629213483,1.785107530939625,1.923913604399111
TSC_het,OFT-0470-00,fast,540,2.4852400962011374,3.859550561797753,1.76037053202951,1.9065501520870185
TSC_het,OFT-0470-00,slow,541,2.7459405691953704,2.955056179775281,1.7972250659422995,1.9691279367149446
TSC_het,OFT-0475-00,slow,542,2.3639498449077716,2.438202247191011,1.8415615273636965,2.0062495736232604
TSC_het,OFT-0475-00,fast,543,2.8784942050406306,1.9213483146067416,1.7552887083988726,1.8481758261213797
TSC_het,OFT-0475-00,medium,544,2.6374283242045027,2.955056179775281,1.8080768607869537,1.8995744467205071
TSC_het,OFT-0480-00,fast,545,2.457462548515208,4.50561797752809,1.7664004000355944,1.8788913658874167
TSC_het,OFT-0480-00,slow,546,2.3945232164605073,3.2134831460674156,1.8259944620300592,1.9917258006917138
TSC_het,OFT-0480-00,medium,547,2.597112375893161,3.859550561797753,1.859674307827638,1.9930331459163146
TSC_het,OFT-0485-00,fast,548,2.5709223684560882,4.247191011235955,1.798206192864804,1.905474078328185
TSC_het,OFT-0485-00,medium,549,2.5601933856041477,3.601123595505618,1.7820902681601607,1.9417039013060893
TSC_het,OFT-0485-00,slow,550,2.719856276215017,3.2134831460674156,1.8744158008959035,2.0522171809750014
TSC_het,OFT-0489-00,medium,551,2.3831362133750984,3.0842696629213484,1.779264332212965,1.9010030903034925
TSC_het,OFT-0489-00,fast,552,2.3695170640237704,3.342696629213483,1.7869182299104238,1.9129363878800516
TSC_het,OFT-0489-00,slow,553,2.7492230042803008,6.056179775280899,1.8305855654858354,1.9563336130779987
TSC_het,OFT-0513-00,slow,554,2.4063430940137076,2.8258426966292136,1.855291301037299,1.970555212273168
TSC_het,OFT-0513-00,fast,555,2.404004517311037,3.859550561797753,1.7401454645269208,1.834770361546455
TSC_het,OFT-0513-00,medium,556,2.454219801591471,3.342696629213483,1.8478772013215272,2.016861457406448
TSC_het,OFT-0514-00,slow,557,2.4014574534716195,3.4719101123595504,1.810132367637014,1.9383813024185184
TSC_het,OFT-0514-00,medium,558,2.3197711904636704,3.859550561797753,1.7104715770437546,1.8637841392168635
