group,subject,speed_bin,model_index,mean_speed,frequency_multiple,forcing_frequency,same_mean_gain,same_peak_gain,same_peak_lag_fraction,same_phase_selectivity,fore_homologs_mean_gain,fore_homologs_peak_gain,fore_homologs_peak_lag_fraction,fore_homologs_phase_selectivity,hind_homologs_mean_gain,hind_homologs_peak_gain,hind_homologs_peak_lag_fraction,hind_homologs_phase_selectivity,ipsilateral_mean_gain,ipsilateral_peak_gain,ipsilateral_peak_lag_fraction,ipsilateral_phase_selectivity,diagonal_mean_gain,diagonal_peak_gain,diagonal_peak_lag_fraction,diagonal_phase_selectivity,all_cross_mean_gain,all_cross_peak_gain,all_cross_peak_lag_fraction,all_cross_phase_selectivity,self_to_cross_ratio
TSC_het,OFT-0544-00,fast,579,5.125386830174372,1.0,1.0,0.1629223911886609,0.5125136548880215,0.010000000000000009,0.04135177188905355,0.15338747853304627,0.5340144966576974,0.010000000000000009,0.047809825770748535,0.17245730384427546,0.49101281311834544,0.010000000000000009,0.03634672367027935,0.16264554303493062,0.5152923095203616,0.010000000000000009,0.04154341600030528,0.16264554303493062,0.5152923095203618,0.010000000000000009,0.04154341600030533,0.1627378257528407,0.5143660913095817,0.010000000000000009,0.04147913372808079,1.001134127452953
TSC_het,OFT-0544-00,slow,580,3.4509090513908887,1.0,1.0,0.16197523574287898,0.4504459694652229,0.010000000000000009,0.12366753590055574,0.15801314042752912,0.5597652929012396,0.010000000000000009,0.126668293188986,0.1659373310582288,0.38113587246184744,-0.010000000000000009,0.13858056238093017,0.157569102349672,0.4144899269512485,0.010000000000000009,0.12229827152474215,0.157569102349672,0.4144899269512485,0.010000000000000009,0.12229827152474215,0.15903781348074103,0.42647527445590666,0.010000000000000009,0.12271475515179965,1.0184699613120225
TSC_het,OFT-0588-00,medium,581,4.123753813461816,1.0,1.0,0.18644067114989143,0.5286908658222316,0.010000000000000009,0.08213131337737958,0.17252347841263244,0.48015733115276554,0.010000000000000009,0.13905971198468137,0.20035786388715046,0.5772244004916977,0.010000000000000009,0.03448806506099116,0.18660080651180624,0.5294436280601325,0.010000000000000009,0.08842751529553756,0.18660080651180624,0.5294436280601325,0.010000000000000009,0.08842751529553755,0.18654742805783464,0.5291927073141656,0.010000000000000009,0.08632952759120177,0.999427722434693
TSC_het,OFT-0588-00,fast,582,5.0590044647782575,1.0,1.0,0.18732492882543267,0.4818488964368346,0.010000000000000009,0.09990650948826328,0.16310375705164626,0.531136320355259,0.010000000000000009,0.11387995265363103,0.21154610059921894,0.43256147251841004,0.010000000000000009,0.09473424522611283,0.1868807747002054,0.4877869126279882,0.010000000000000009,0.10027962209016518,0.1868807747002054,0.4877869126279881,0.010000000000000009,0.10027962209016508,0.1870288260752811,0.4858075738976036,0.010000000000000009,0.10015045147042813,1.0015831931171528
TSC_het,OFT-0588-00,slow,583,3.3311553338682907,1.0,1.0,0.13732912046388493,0.40014278291448124,0.010000000000000009,0.04820650076246751,0.1635794256682004,0.5539120170166489,0.010000000000000009,0.0735452891670359,0.1110788152595694,0.2463735488123138,0.010000000000000009,0.016124688883877122,0.13640223378070154,0.3944618453578371,0.010000000000000009,0.04704030741405676,0.13640223378070152,0.39446184535783707,0.010000000000000009,0.04704030741405666,0.13671119600842935,0.3963554912100518,0.010000000000000009,0.04743052733128072,1.0045199257522222
TSC_het,OFT-0589-00,slow,584,3.427530118756996,1.0,1.0,0.13410293404697887,0.35333134768723057,0.010000000000000009,0.09305816665969978,0.13350588968427501,0.5112008787289469,0.010000000000000009,0.06445992793157118,0.13469997840968273,0.3184983404895953,-0.010000000000000009,0.2016479874922852,0.13368490835261118,0.3557846806041721,0.010000000000000009,0.08449420184193832,0.13368490835261118,0.35578468060417207,0.010000000000000009,0.08449420184193829,0.13382425025073372,0.3549669029651916,0.010000000000000009,0.0873516348611762,1.0020824611064363
TSC_het,OFT-0589-00,medium,585,4.105130445978104,1.0,1.0,0.19092181089124166,0.5494245195587474,0.010000000000000009,0.09566043201558756,0.16995292582018307,0.5521891062889305,0.010000000000000009,0.11541197695323122,0.21189069596230029,0.5466599328285642,0.010000000000000009,0.08050736170182006,0.18749134629395126,0.538259896727349,0.010000000000000009,0.09505827313063038,0.18749134629395126,0.538259896727349,0.010000000000000009,0.09505827313063032,0.1886348344930481,0.5419814376711484,0.010000000000000009,0.09525911077271518,1.0121238285830916
TSC_het,OFT-0589-00,fast,586,4.96719980940144,1.0,1.0,0.1608468948589098,0.47279833227804224,0.010000000000000009,0.011754287949238508,0.16040888241667092,0.5411089400078696,0.010000000000000009,0.03496603946524763,0.16128490730114878,0.4044877245482149,0.010000000000000009,0.01192489040825234,0.1608087473456682,0.4746547627819884,0.010000000000000009,0.012291058759008749,0.1608087473456682,0.47465476278198837,0.010000000000000009,0.01229105875900876,0.1608214631834154,0.4740359526140064,0.010000000000000009,0.01211210680014503,1.0001581360783007
TSC_het,OFT-0591-00,slow,587,3.428129490605594,1.0,1.0,0.16212203539491282,0.4310065491595312,0.010000000000000009,0.12198404667692918,0.13799684903349305,0.3482885847645673,0.010000000000000009,0.11356777992671417,0.1862472217563326,0.5137245135544951,0.010000000000000009,0.12846962786092525,0.1620025372789414,0.43066717507852964,0.010000000000000009,0.12175277072735023,0.1620025372789414,0.4306671750785297,0.010000000000000009,0.12175277072735018,0.1620423699842652,0.43078029977219684,0.010000000000000009,0.12182989481418977,1.000491633210841
TSC_het,OFT-0591-00,medium,588,4.140551640991795,1.0,1.0,0.18713913104855207,0.5455301980143529,0.010000000000000009,0.1276167387272756,0.1542109125059298,0.5022636194072453,0.010000000000000009,0.15545930162978636,0.22006734959117435,0.5887967766214607,0.010000000000000009,0.11426731992264291,0.18350393466981893,0.5308130179092401,0.010000000000000009,0.1276613307551078,0.18350393466981893,0.5308130179092401,0.010000000000000009,0.1276613307551078,0.18471566679606324,0.5357187446109443,0.010000000000000009,0.12764391069809836,1.013119971329581
